"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 22 14:55:12 GMT 2024","Sun Sep 22 14:55:15 GMT 2024","2696","Web Auto Allure report","sample web tests","allureReportPractice.practice.LaunchBrowser","allureReportPractice.practice.LaunchBrowser","test1","Launch Browser",""
"failed","Sun Sep 22 14:55:15 GMT 2024","Sun Sep 22 14:55:16 GMT 2024","691","Web Auto Allure report","sample web tests","allureReportPractice.practice.LaunchBrowser","allureReportPractice.practice.LaunchBrowser","test2","test2",""
